NN DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Roma  R2: 3) JEROME (#4 — James Baker)

Roma  R3: 1) KAZZA'S JET* (#1 — Matthew Gray)
Roma  R3: 2) ROX'N'ROL (#8 — James Baker)
Roma  R3: 3) BEST SIDE (#4 — Cheryl Rogers)

Roma  R4: 1) SHE'S GOT GRACE (#9 — Matthew Gray)
Roma  R4: 2) LILY'S DASH (#6 — Paul Randall)
Roma  R4: 3) FEISTY LEGEND* (#4 — Chelsea Francis)

Roma  R5: 1) THE RATTLESNAKE* (#3 — Chelsea Francis)
Roma  R5: 2) TOUGH JUDGE (#5 — Matthew Gray)
Roma  R5: 3) BAG OF WHITT* (#1 — James Baker)

Roma  R6: 1) HARLEQUIN FIELD* (#2 — Matthew Gray)
Roma  R6: 2) NOTQUITELIKEJACK (#6 — Paul Randall)
Roma  R6: 3) ONOMATOPOEIA (#7 — Chelsea Francis)

=========

Katherine  R1: 1) HELLIVIT* (#1 — Paul Shiers)
Katherine  R1: 2) ARROGANT MISS* (#4 — Danielle Hirini)
Katherine  R1: 3) WHITTEN (#5 — Wayne Davis)

Katherine  R2: 1) ORION THE HUNTER* (#3 — Paul Shiers)
Katherine  R2: 2) CHIEF WHITE SOCK* (#4 — Danielle Hirini)
Katherine  R2: 3) SUNZOU (#5 — Sonja Logan)

Katherine  R3: 1) MERCHANT DELIGHT* (#1 — Kristo Sardelic)
Katherine  R3: 2) MLINZI* (#4 — Paul Shiers)
Katherine  R3: 3) SNAPPY SWEETHEART* (#6 — Wayne Davis)

Katherine  R4: 1) RISING WATER (#9 — Paul Shiers)
Katherine  R4: 2) FRAWLEY* (#2 — Wayne Davis)
Katherine  R4: 3) COLLISON** (#5 — Stan Tsaikos)

Katherine  R5: 1) REBELLIOUS HOPE* (#4 — Wayne Davis)
Katherine  R5: 2) FIERCE LEGEND** (#2 — Stan Tsaikos)
Katherine  R5: 3) FAITHFUL CHAMPION (#3 — Sonja Logan)

Katherine  R6: 1) AICHI ICON* (#8 — Danielle Hirini)
Katherine  R6: 2) PICAROON* (#1 — Paul Shiers)
Katherine  R6: 3) HOLSTEIN* (#4 — Wayne Davis)

=========

Narrandera  R1: 1) THE NARRATOR* (#2 — Nick Heywood)
Narrandera  R1: 2) POSTWAR (#8 — Alice Kennedy)
Narrandera  R1: 3) FLYING BETTY* (#5 — Teaghan Martin)

Narrandera  R2: 1) GHOST GULLY* (#1 — Nick Heywood)
Narrandera  R2: 2) MORE CASH (#2 — Jake Duffy)
Narrandera  R2: 3) DESTINED TO DREAM* (#5 — Brendan Ward)

Narrandera  R3: 1) STAR BLAZER (#1 — Alice Kennedy)
Narrandera  R3: 2) KERMA ART* (#5 — Brittany Button)
Narrandera  R3: 3) EMPEROR OF FRANCE* (#9 — Amy O'Driscoll)

Narrandera  R4: 1) BRENLYN'S TROOPER* (#2 — Nick Heywood)
Narrandera  R4: 2) THUNDER PACE* (#1 — Alice Kennedy)
Narrandera  R4: 3) ARTIST* (#4 — Richard Bensley)

Narrandera  R5: 1) DYNAMIC WARRIOR (#1 — Jake Duffy)
Narrandera  R5: 2) OIMBARI (#5 — Cassidy Hill)
Narrandera  R5: 3) BLAZING ZONE (#12 — Bradley Vale)

Narrandera  R6: 1) IRISH CONSORT** (#1 — Alice Kennedy)
Narrandera  R6: 2) VONK (#8 — Nick Heywood)
Narrandera  R6: 3) TI TREE ROYAL* (#3 — Ella Bent)

=========

Cairns  R1: 1) GERALDINE'S WISH* (#2 — Krysten Swaffer)
Cairns  R1: 2) SUPEEDO GONZALES (#6 — McKenzie Apel)
Cairns  R1: 3) FLOURISH (#4 — Amanda Thomson)

Cairns  R2: 1) THE BRILL BUILDING (#2 — McKenzie Apel)
Cairns  R2: 2) GOLDEN OCTAVIAN (#4 — Ashley Butler)
Cairns  R2: 3) EAGLE WARRIOR* (#3 — Justin Huxtable)

Cairns  R3: 1) BESMARA (#8 — Justin Huxtable)
Cairns  R3: 2) TOMYDONKA* (#7 — Rachel Shred)
