LGBM Rank DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Morphettville  R4: 2) BURNING BRIGHT* (#11 — Taylor Johnstone)
Morphettville  R4: 3) GOLIOTUS (#3 — Jason Holder)

Morphettville  R5: 1) REGAL SECRET (#6 — Jacob Opperman)
Morphettville  R5: 2) SETTEVELI* (#8 — Caitlin Jones)
Morphettville  R5: 3) NEXTONIXS* (#7 — Rochelle Milnes)

Morphettville  R6: 1) RABTAT* (#7 — Ben Price)
Morphettville  R6: 2) AITCH D'AMICO (#4 — Taylor Johnstone)
Morphettville  R6: 3) UNITED LEGEND (#9 — Jacob Opperman)

Morphettville  R7: 1) CLASSY KENNY (#10 — Felicity Atkinson)
Morphettville  R7: 2) COLMAR* (#1 — Rochelle Milnes)
Morphettville  R7: 3) DANCING STORM* (#7 — Jake Toeroek)

Morphettville  R8: 1) HOT STRUT (#6 — Rochelle Milnes)
Morphettville  R8: 2) SADLER'S SONG (#13 — Rochelle Milnes)
Morphettville  R8: 3) DARKNCONFIDENTIAL* (#1 — Matt Chadwick)

Morphettville  R9: 1) WELCOMETOTHESHOW (#2 — Jake Toeroek)
Morphettville  R9: 2) IMMORTAL SHIELD* (#9 — Ben Price)
Morphettville  R9: 3) COPPER BULLET* (#7 — Caitlin Jones)

=========

Belmont  R1: 1) CAPE LEEUWIN* (#1 — Brad Parnham)
Belmont  R1: 2) COUNTRY GOD* (#2 — Chris Parnham)
Belmont  R1: 3) BUNDABERG* (#3 — Clint Johnston-Porter)

Belmont  R2: 1) INVESTMENTSTRATEGY** (#5 — Brad Parnham)
Belmont  R2: 2) SENTIMENTAL HERO (#1 — Steven Parnham)
Belmont  R2: 3) STARRY HEIGHTS* (#2 — Chanel Cooper)

Belmont  R3: 1) GHOST WHO WALKS* (#1 — Chanel Cooper)
Belmont  R3: 2) CUT THE TALK (#2 — Alex Hearn)
Belmont  R3: 3) MADHI GIRL* (#3 — William Pike)

Belmont  R4: 1) SNOW GOD* (#8 — Brad Parnham)
Belmont  R4: 2) COONDLE* (#7 — Jason Whiting)
Belmont  R4: 3) MILITARY POWER* (#1 — Chanel Cooper)

Belmont  R5: 1) DOCTOR JAY (#5 — Steven Parnham)
Belmont  R5: 2) KIRALUI (#8 — Shaun O'Donnell)
Belmont  R5: 3) COBBANCO (#10 — Jason Whiting)

Belmont  R6: 1) MR TALENTINO (#11 — Shaun O'Donnell)
Belmont  R6: 2) NOBLE CONNECTION* (#6 — Clint Johnston-Porter)
Belmont  R6: 3) ADMIRED* (#8 — Jason Whiting)

Belmont  R7: 1) COLD SHIZZLE* (#2 — Brad Parnham)
