LGBM Regression DaySlip — 2025-08-16  (meets: 2, 4, 11, 12, 14, 15, 16, 18, 21, 22, 23, 24, 25, 26, 27, 28, 29)
Doomben  R5: 3) STYLISH JOKER (#7 — Luke Tarrant)

Doomben  R6: 1) TRUE AMOR (#14 — Andrew Mallyon)
Doomben  R6: 2) RHUVAAL (#11 — Jace McMurray)
Doomben  R6: 3) ALDOLFITO (#1 — Ben Thompson)

Doomben  R7: 1) LIGHT OF BOOM (#11 — Siobhan Rutledge)
Doomben  R7: 2) SAFEWORK (#6 — Bailey Wheeler)
Doomben  R7: 3) KAIZAD (#10 — Taylor Marshall)

Doomben  R8: 1) ZOUPRINCE (#18 — Heavelon Van Der Hoven)
Doomben  R8: 2) THE ASTRONOMER* (#7 — Tahlia Fenlon)
Doomben  R8: 3) TERMAGANT* (#6 — Damien Thornton)

Doomben  R9: 1) PRIME ASSET (#11 — Siobhan Rutledge)
Doomben  R9: 2) LITTLE BEGINNINGS* (#8 — Andrew Mallyon)
Doomben  R9: 3) TONNEOFGRIT (#6 — Kyle Wilson-Taylor)

=========

Morphettville  R1: 1) KHABY* (#5 — Matt Chadwick)
Morphettville  R1: 2) ARTISTIC ANGEL (#11 — Teagan Voorham)
Morphettville  R1: 3) TIDDY WIDDY* (#9 — Alana Livesey)

Morphettville  R2: 1) IMA SHELBY* (#8 — Felicity Atkinson)
Morphettville  R2: 2) SHOOTOOSE (#6 — Taylor Johnstone)
Morphettville  R2: 3) VALIDATED* (#3 — Connor Murtagh)

Morphettville  R3: 1) EMMOOKI MAGIC (#10 — Margaret Collett)
Morphettville  R3: 2) ZANTHRON* (#3 — Felicity Atkinson)
Morphettville  R3: 3) MINTULEE (#7 — Alana Livesey)

Morphettville  R4: 1) BURNING BRIGHT* (#11 — Taylor Johnstone)
Morphettville  R4: 2) DIXIE WHISTLER (#4 — Alana Livesey)
Morphettville  R4: 3) LAVISH THINKER* (#6 — Jacob Opperman)

Morphettville  R5: 1) MT NISEKO (#1 — Matt Chadwick)
Morphettville  R5: 2) NEXTONIXS* (#7 — Rochelle Milnes)
Morphettville  R5: 3) SETTEVELI* (#8 — Caitlin Jones)

Morphettville  R6: 1) RABTAT* (#7 — Ben Price)
Morphettville  R6: 2) PENSLEY (#15 — Teagan Voorham)
Morphettville  R6: 3) RIKKI RIKKARDO (#12 — Matt Chadwick)

Morphettville  R7: 1) JUST LIKE LISA (#11 — Margaret Collett)
Morphettville  R7: 2) DELIGHTFUL SHECKY (#3 — Matt Chadwick)
Morphettville  R7: 3) KOMACHI (#8 — Ben Price)

Morphettville  R8: 1) LISELLE'S LUCK (#11 — Margaret Collett)
Morphettville  R8: 2) DARKNCONFIDENTIAL* (#1 — Matt Chadwick)
Morphettville  R8: 3) SACRED CHORD (#12 — Teagan Voorham)

Morphettville  R9: 1) TRANTORO (#13 — Matt Chadwick)
Morphettville  R9: 2) CUBAN WATERS (#12 — Teagan Voorham)
Morphettville  R9: 3) IMMORTAL SHIELD* (#9 — Ben Price)

=========

Belmont  R1: 1) MY AUTHORITAH (#4 — William Pike)
Belmont  R1: 2) SAAM TIME LUCKY (#5 — Steven Parnham)
Belmont  R1: 3) STYLIN' (#9 — Natasha Faithfull)

Belmont  R2: 1) BLAZING AWAY (#6 — Patrick Carbery)
Belmont  R2: 2) KAPTAIN KAOS (#7 — Troy Turner)
Belmont  R2: 3) INVESTMENTSTRATEGY** (#5 — Brad Parnham)

Belmont  R3: 1) HANCHI* (#5 — Chris Parnham)
Belmont  R3: 2) SNOW PRINCE (#6 — Jade McNaught)
Belmont  R3: 3) GHOST WHO WALKS* (#1 — Chanel Cooper)

Belmont  R4: 1) COONDLE* (#7 — Jason Whiting)
Belmont  R4: 2) SOMETHING ROYAL (#9 — Patrick Carbery)
Belmont  R4: 3) MILITARY POWER* (#1 — Chanel Cooper)

Belmont  R5: 1) MANJERI (#15 — Patrick Carbery)
Belmont  R5: 2) TRUEVINSKY (#4 — Natasha Faithfull)
Belmont  R5: 3) HAPPY AS LARRY (#16 — Lisa Staples)

Belmont  R6: 1) FIOREYES (#10 — Natasha Faithfull)
Belmont  R6: 2) NOBLE CONNECTION* (#6 — Clint Johnston-Porter)
Belmont  R6: 3) COSMIC CHAOS (#3 — Alex Hearn)

Belmont  R7: 1) LITTLE SILVER (#4 — Natasha Faithfull)
Belmont  R7: 2) BORDER FORCE (#7 — Jade McNaught)
Belmont  R7: 3) SISU WARRIOR* (#1 — Chanel Cooper)

Belmont  R8: 1) ABOVE THE PEG (#3 — Steven Parnham)
Belmont  R8: 2) TON OF GRUNT* (#11 — Troy Turner)
Belmont  R8: 3) BAYHARA (#9 — Laqdar Ramoly)

=========

Roma  R1: 1) FLANK SPEED** (#1 — Isabel Jessop)
Roma  R1: 2) ABLETT** (#2 — Chelsea Francis)
Roma  R1: 3) MON PIERRE* (#3 — Sarah Robbins)

Roma  R2: 1) SIR OCCY* (#3 — Isabel Jessop)
