date,meeting_number,meeting_venue,race_number,race_name,distance,track_condition,weather,advertised_start,runner_number,runner_name,barrier,jockey,win_fixed,place_fixed,win_tote,place_tote,finish_position,advertised_start_iso
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,2,Sun Strike,2,,,,3.4,1.3,2.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,3,Goldstar Murphy,3,,,,2.7,1.5,1.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,4,Love Bug,4,,,,45.1,6.3,6.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,5,Big Time Vanilla,5,,,,5.6,2.0,3.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,6,Goldstar Kenzie,6,,,,44.2,7.5,4.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,7,Mad World,7,,,,35.8,5.5,7.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,8,Opawa Jordan,8,,,,4.3,1.2,8.0,
2024-07-30,3,Palmerston North,10,DAN FOGARTY: WHITE HORSE INN C2 NZ BRED FEATURE,,,FINE,,9,Go Tilly,0,,,,,,,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,1,Claws In Zorro,1,,,,3.3,1.1,3.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,2,Goldstar Dynasty,2,,,,29.0,4.4,2.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,3,Big Time Lime,3,,,,16.5,4.1,5.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,4,Goldstar Koda,4,,,,9.4,2.2,6.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,5,Opawa Marsh,5,,,,5.3,2.0,7.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,6,Big Time Thrill,6,,,,7.0,2.4,8.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,7,Big Time Bullet,7,,,,8.1,2.8,4.0,
2024-07-30,9,Palmerston North Extra,1,"CRAIG RAIL: MISCHIEF, MYSTERY SYNDICATE C5 375M",,,FINE,,8,Smoking Ivan,8,,,,4.2,1.9,1.0,
